bookId,COUNT(*),cnum
2259,29,29
2263,411,411
2271,357,357
2275,53,53
2308,188,188
2320,246,246
2325,19,19
2331,136,136
2334,210,210
2347,300,300
2352,128,128
2358,24,24
2362,5,5
2363,2,2
2367,23,23
2368,7,7
2376,163,163
2377,353,353
2382,223,223
2386,119,119
2387,28,28
2390,119,119
2393,283,283
2395,310,485
2400,103,120
2425,86,86
2427,16,16
2431,62,62
2435,85,85
2436,128,128
2437,135,135
2438,801,801
2439,232,232
2441,280,280
2444,164,164
2445,5,5
2446,142,142
2450,187,187
2452,109,109
2453,85,85
2458,147,147
2460,148,148
2462,58,58
2463,168,168
2469,249,249
2473,241,241
2477,114,114
2484,21,21
2485,20,20
2488,32,32
2497,27,27
2498,89,89
2500,217,217
2509,287,287
2510,115,115
2514,132,132
2516,82,82
2520,205,205
2527,26,26
2528,86,86
2534,2,2
2536,32,32
2537,319,319
2538,147,147
2539,287,287
2544,127,127
2548,189,189
2550,184,184
2553,117,117
2557,4,4
2561,25,25
2565,18,18
2566,64,64
2567,84,84
2569,104,104
2580,100,100
2583,221,221
2584,105,105
2589,166,166
2591,34,34
2592,76,76
2593,73,73
2597,138,138
2602,359,359
2604,7,7
2605,13,13
2606,16,16
2607,5,5
2608,50,50
2609,92,92
2610,11,11
2612,106,106
2615,24,24
2616,193,193
2617,14,14
2618,24,24
2619,15,15
2620,14,14
2621,3,3
2622,6,6
2623,7,7
2628,84,84
2629,14,14
2630,5,5
2631,2,2
2632,24,24
2633,11,11
2634,44,44
2635,3,3
2636,2,2
2638,7,7
2639,81,81
2640,2,2
2643,71,71
2644,34,34
2645,3,3
2646,464,464
2648,65,65
2649,57,57
2650,98,98
2651,4,4
2652,43,43
2655,2,2
2656,13,13
2657,31,31
2658,13,13
2659,23,23
2661,7,7
2662,7,7
2663,8,8
2666,11,11
2671,4,4
2672,6,6
2674,3,3
2675,4,4
2676,6,6
2680,7,7
2681,28,28
2683,4,4
2684,15,15
2685,4,4
2686,15,15
2687,11,11
2688,41,41
2690,30,30
2692,4,4
2693,19,19
2695,41,41
2697,16,16
2699,5,5
2701,8,8
2702,12,12
2703,30,30
2704,39,39
2705,111,111
2707,211,211
2709,16,16
2710,314,314
2711,62,62
2714,18,18
2715,18,18
2717,15,15
2720,45,45
2721,4,4
2723,26,26
2726,34,34
2727,3,3
2730,3,3
2732,52,52
2733,6,6
2735,30,30
2738,170,170
2740,32,32
2741,5,5
2745,15,15
2747,34,34
2749,32,32
2751,11,11
2753,28,28
2754,6,6
2755,8,8
2756,29,29
2757,2,2
2760,12,12
2761,80,80
2762,27,27
2763,22,22
2766,4,4
2768,11,11
2769,56,56
2775,954,954
2785,792,792
2789,185,94
2793,279,279
2796,9,9
2797,192,192
2803,255,255
2815,190,190
2818,90,90
2820,240,240
2823,252,252
2824,253,253
2829,361,361
2832,248,248
2836,200,200
2842,120,120
2843,328,328
2845,361,361
2846,228,228
2854,156,156
2856,205,205
2859,288,288
2860,218,218
2864,212,212
2865,41,41
2866,7,7
2867,10,10
2868,95,95
2873,21,21
2876,22,22
2878,7,7
2880,122,122
2881,37,37
2885,15,15
2886,17,17
2888,11,11
2890,30,30
2891,32,32
2894,21,21
2895,19,19
2897,89,89
2898,31,31
2899,39,39
2900,35,35
2901,8,8
2904,27,27
2906,28,28
2907,13,13
2908,8,8
2911,22,22
2912,8,8
2914,26,26
2971,758,758
2985,723,723
3019,136,136
3021,216,216
3214,269,269
3217,136,136
3294,287,287
3295,121,121
3297,167,167
3337,194,194
3359,294,294
3377,11,11
3384,21,21
3385,166,166
3388,291,291
3389,67,67
3391,11,11
3399,163,163
3400,336,336
3404,528,528
3405,132,132
3407,155,155
3411,118,118
3412,85,85
3413,162,162
3414,82,82
3420,150,150
3422,341,341
3427,110,110
3431,189,189
3435,131,131
3436,98,98
3437,200,200
3442,184,184
3444,148,148
3445,263,263
3452,158,158
3454,176,176
3455,127,127
3461,37,37
3471,5,5
3472,2,2
3473,122,122
3474,180,180
3475,190,190
3476,116,116
3482,96,96
3484,379,379
3486,175,175
3488,109,109
3491,167,167
3493,156,156
3494,104,104
3496,138,138
3499,67,67
3506,387,387
3512,48,48
3514,130,130
3515,198,198
3518,169,169
3520,172,172
3521,81,81
3522,67,67
3525,153,153
3526,123,123
3529,59,59
3530,72,72
3531,169,169
3532,97,97
3535,10,10
3537,171,171
3538,124,124
3539,163,163
3540,120,120
3541,35,35
3543,131,131
3544,94,94
3545,37,37
3546,36,36
3548,37,37
3549,93,93
3550,7,7
3552,9,9
3553,8,8
3554,58,58
3555,17,17
3556,5,5
3557,32,32
3558,44,44
3560,8,8
3561,59,59
3562,20,20
3567,140,140
3570,9,9
3571,23,23
3573,10,10
3574,4,4
3576,9,9
3577,9,9
3578,11,11
3579,45,45
3581,37,37
3582,57,57
3583,99,99
3584,31,31
3585,3,3
3587,12,12
3595,216,216
3596,16,16
3597,91,91
3598,24,24
3599,18,18
3603,160,160
3606,35,35
3607,65,65
3608,100,100
3609,8,8
3610,51,51
3612,38,38
3614,52,52
3617,3,3
3618,60,60
3620,27,27
3621,4,4
3622,47,47
3624,2,2
3625,8,8
3626,96,96
3627,146,146
3629,19,19
3632,157,157
3635,90,90
3639,71,71
3640,24,24
3643,128,128
3647,123,83
3650,6,6
3653,137,137
3654,4,4
3657,147,147
3659,19,19
3662,6,6
3669,27,27
3672,156,156
3673,9,9
3674,7,7
3675,12,12
3678,16,16
3681,5,5
3685,80,80
3688,89,89
3689,22,22
3690,3,3
3693,6,6
3696,6,6
3698,19,19
3705,11,11
3708,45,45
3712,6,6
3714,101,101
3715,75,75
3716,48,48
3718,124,124
3720,14,14
3722,59,59
3725,2,2
3726,80,80
3727,51,51
3748,34,34
3750,72,72
3751,7,7
3754,11,11
3755,46,3
3762,4,4
3765,23,23
3766,76,76
3769,11,11
3771,69,69
3774,4,4
3776,18,18
3777,41,41
3778,11,11
