bookId,COUNT(*),cnum
56692,669,669
56693,1212,1212
56694,560,562
56695,21,21
56696,1033,1033
56697,122,122
56698,74,74
56699,63,63
56700,809,1131
56701,948,948
56703,91,91
56704,517,518
56705,131,131
56706,209,209
56707,374,384
56708,557,1345
56709,437,986
56710,2,1404
56715,17,17
56725,1485,1487
56734,97,97
56735,1167,1167
56736,375,375
56737,490,490
56738,181,181
56739,253,253
56740,510,510
56741,66,66
56742,103,103
56743,1463,1463
56744,595,595
56745,300,300
56746,52,52
56747,145,145
56748,56,56
56749,132,132
56750,310,310
56751,511,511
56752,78,78
56753,150,150
56754,12,12
56755,91,91
56756,746,746
56757,38,38
56758,374,374
56759,66,66
56760,125,125
56761,358,358
56762,1388,1388
56763,100,100
56764,258,258
56765,228,228
56766,66,66
56767,68,68
56768,1366,1366
56769,13,13
56770,65,65
56771,97,97
56772,9,9
56773,98,98
56774,202,202
56775,30,30
56776,462,462
56777,313,313
56778,503,503
56779,369,369
56780,54,54
56781,41,41
56782,695,695
56783,39,39
56784,1036,1036
56785,498,498
56786,164,164
56787,551,551
56788,69,69
56789,1392,1392
56790,59,59
56791,466,466
56792,102,102
56793,194,194
56794,67,67
56795,482,482
56796,663,663
56797,150,150
56798,94,94
56799,114,114
56800,166,166
56801,136,136
56802,124,124
56803,221,221
56804,95,95
56805,100,100
56806,303,303
56807,216,216
56808,61,61
56809,329,329
56810,107,107
56811,404,404
56812,20,20
56813,89,89
56814,182,182
56815,409,409
56816,195,195
56817,52,52
56818,940,940
56819,36,36
56820,105,105
56821,196,196
56822,39,39
56823,82,82
56824,318,318
56825,336,336
56826,250,250
56827,1209,1209
56828,109,109
56829,295,295
56830,117,117
56831,112,112
56832,599,599
56833,3158,3562
56834,397,397
56835,270,270
56836,194,194
56837,86,86
56838,255,255
56839,235,235
56840,36,36
56841,682,682
56842,53,53
56843,722,722
56844,185,185
56845,414,414
56846,292,292
56847,99,99
56848,144,144
56849,85,85
56850,576,576
56851,50,50
56852,154,154
56853,86,86
56854,192,192
56855,78,78
56856,361,361
56857,367,367
56858,61,61
56859,306,306
56860,183,183
56861,63,63
56862,170,170
56863,361,588
56864,149,149
56865,269,739
56866,141,707
56867,67,67
56868,5,336
56869,338,338
56870,54,54
56871,302,302
56872,76,76
56873,175,175
56874,105,105
56875,44,44
56876,223,223
56877,600,600
56878,40,40
56879,47,47
56880,171,171
56881,77,77
56882,251,251
56883,41,41
56884,86,86
56885,704,704
56886,306,306
56887,176,176
56888,714,714
56889,844,844
56890,80,80
56891,120,120
56892,272,272
56893,497,497
56894,344,344
56895,265,265
56896,79,79
56897,201,201
56898,169,169
56899,13,13
56900,115,115
56901,23,23
56902,942,942
56903,283,283
56904,301,301
56905,276,276
56906,318,318
56907,454,454
56908,1527,1527
56909,812,812
56910,69,69
56911,27,27
56912,114,114
56913,183,183
56914,379,379
56915,78,78
56916,72,72
56917,62,62
56918,77,77
56919,290,290
56920,1251,1251
56921,504,504
56922,140,140
56923,186,186
56924,26,26
56925,475,475
56926,80,80
56927,1201,1353
56928,65,65
56929,81,81
56930,536,536
56931,918,918
56932,48,48
56933,222,222
56934,177,177
56935,14,14
56936,78,78
56937,571,571
56938,493,493
56939,81,81
56940,144,144
56941,52,52
56942,139,139
56943,304,304
56944,87,87
56945,283,283
56946,42,42
56947,220,220
56948,573,573
56949,240,240
56950,11,11
56951,79,79
56952,258,258
56953,157,157
56954,291,291
56955,45,45
56956,240,240
56957,220,220
56958,13,13
56959,38,38
56960,327,327
56961,212,212
56962,74,74
56963,86,86
56964,268,268
56965,104,104
56966,489,489
56967,140,140
56968,151,151
56969,505,505
56970,81,81
56971,135,135
56972,18,359
56973,312,312
56974,107,107
56975,20,20
56976,213,213
56977,189,189
56978,188,188
56979,374,374
56980,33,33
56981,893,1815
56982,78,78
56983,66,66
56984,76,76
56985,308,308
56986,100,100
56987,53,53
56988,60,60
56989,52,52
56990,86,86
56991,403,403
56992,326,326
56993,225,225
56994,399,399
56995,871,871
56996,73,73
56997,670,670
56998,127,127
56999,25,25
57000,112,112
57001,38,38
57002,489,489
57003,503,503
57004,72,72
57005,567,567
57006,196,196
57007,583,583
57008,635,635
57009,112,112
57010,67,67
57011,439,439
57012,258,258
57013,7,28
57014,370,370
57015,12,12
57016,134,134
57017,39,39
57018,159,159
57019,237,237
57020,103,103
57021,225,225
57022,183,183
57023,224,224
57024,1166,1166
57025,1341,1341
57026,45,45
57027,402,402
57028,123,123
57029,463,463
57030,102,102
57031,566,566
57032,599,599
57033,33,33
57034,183,183
57035,172,172
57036,67,67
57037,99,99
57038,330,330
57039,241,241
57040,79,79
57041,60,60
57043,197,197
57044,128,128
57045,360,360
57046,481,481
57047,376,376
57048,17,17
57049,252,252
57050,203,203
57051,451,451
57052,590,590
57053,972,972
57054,322,322
57055,520,520
57056,61,61
57057,553,553
57058,226,1132
57059,152,554
57060,115,115
57061,363,363
57062,767,767
57063,265,265
57064,500,977
57065,78,78
57066,25,25
57067,66,66
57068,74,164
57069,38,51
57070,106,106
57071,398,398
57072,77,77
57073,395,395
57074,45,45
57075,485,762
57076,131,131
57077,347,348
57078,253,519
57079,92,92
57080,110,534
57081,281,281
57082,59,59
57083,40,40
57084,326,326
57085,94,94
57086,896,2095
57087,150,150
57088,100,100
57089,60,60
57090,2398,2398
57091,314,314
57092,40,40
57093,188,188
57094,12,12
57095,455,455
57096,168,168
57097,139,139
57098,318,318
57099,44,44
57100,63,63
57101,65,65
57102,98,98
57103,323,323
57104,460,460
57105,40,40
57106,521,521
57107,81,81
57108,165,165
57109,812,812
57110,431,431
57111,65,65
57112,146,146
57113,166,166
57114,87,87
57115,423,423
57116,128,128
57117,432,432
57118,241,241
57119,88,88
57120,297,297
57121,643,643
57122,44,44
57123,125,125
57124,207,207
57125,16,16
57126,366,366
57127,66,66
57128,81,81
57129,84,84
57130,41,41
57131,120,120
57132,729,729
57133,140,140
57134,204,204
57135,10,10
57136,50,50
57137,333,333
57138,373,373
57139,369,369
57140,52,52
57141,319,319
57142,70,70
57143,531,531
57144,60,60
57145,187,187
57146,228,228
57147,954,954
57148,856,856
57149,223,223
57150,417,417
57151,9,9
57152,140,140
57153,1352,1352
57154,714,714
57155,403,403
57156,105,105
57157,243,243
57158,48,48
57159,355,355
57160,774,774
57161,54,54
57162,28,28
57163,60,60
57164,825,825
57165,29,29
57166,85,85
57167,83,83
57168,395,395
57169,287,287
57170,445,445
57171,578,578
57172,406,406
57173,587,587
57174,836,836
57175,198,198
57176,117,117
57177,185,185
57178,118,118
57179,362,362
57180,659,659
57181,670,670
57182,289,289
57183,48,48
57184,184,184
57185,611,611
57186,35,35
57187,78,78
57188,1017,1017
57189,36,36
57190,50,50
57191,114,114
57192,235,235
57193,176,176
57194,341,341
57195,16,16
57196,82,82
57197,166,166
57198,84,84
57199,19,19
57200,212,212
57201,122,122
57202,655,655
57203,587,587
57204,109,109
57205,25,25
57206,112,112
57207,21,21
57208,543,543
57209,11,11
57210,99,99
57211,235,235
57212,817,817
57213,338,338
57214,387,387
57215,629,629
57216,74,74
57217,693,693
57218,268,268
57219,32,32
57220,118,118
57221,99,99
57222,48,48
57223,89,89
57224,426,426
57225,308,308
57226,190,190
57227,77,77
57228,421,421
57229,90,90
57230,204,204
57231,133,133
57232,749,749
57233,43,43
57234,175,175
57235,423,423
57236,461,461
57237,202,202
57238,791,791
57239,1481,1481
57240,234,234
57241,157,157
57242,857,857
57243,134,134
57244,903,903
57245,13,13
57246,34,34
57247,357,357
57248,73,73
57249,83,83
57250,208,208
57251,596,596
57252,13,13
57253,263,263
57254,431,431
57255,165,165
57256,111,111
57257,203,203
57258,62,62
57259,257,257
57260,94,94
57261,192,192
57262,144,144
57263,95,95
57264,370,370
57265,106,106
57266,375,375
57267,201,201
57268,360,360
57269,896,896
57270,71,71
57271,379,379
57272,609,609
57273,224,224
57274,160,160
57275,839,839
57276,421,421
57277,1032,1032
57278,144,144
57279,151,151
57280,115,115
57281,12,12
57282,171,171
